Epoch,Step,Loss,Discrim_empi,Compress_empi,Discrim_theo,Compress_theo
0,0,-3.8210926055908203,59.437095642089844,31.84116554260254,35.580177307128906,31.84116554260254
0,49,-3.179983139038086,57.91374969482422,31.568269729614258,34.06947326660156,31.568267822265625
0,99,-3.4394493103027344,58.427490234375,31.617046356201172,34.58153533935547,31.617046356201172
0,149,-3.092327117919922,57.76471710205078,31.566505432128906,33.92584991455078,31.566505432128906
1,0,-3.518657684326172,58.350379943847656,31.491573333740234,34.5052490234375,31.49156951904297
1,49,-3.7219371795654297,58.513526916503906,31.386178970336914,34.667747497558594,31.38617706298828
1,99,-3.3756637573242188,58.2021484375,31.54562759399414,34.3581657409668,31.54562759399414
1,149,-3.9069156646728516,59.329166412353516,31.690584182739258,35.47510528564453,31.690582275390625
2,0,-4.097333908081055,59.331817626953125,31.50175666809082,35.47865676879883,31.50175666809082
2,49,-3.345418930053711,57.83185958862305,31.353696823120117,33.990142822265625,31.353694915771484
2,99,-3.315479278564453,58.18914031982422,31.598007202148438,34.34375762939453,31.598005294799805
2,149,-3.9790401458740234,59.11601257324219,31.490568161010742,35.26182174682617,31.49056625366211
3,0,-3.999666213989258,58.899559020996094,31.340070724487305,35.04883575439453,31.340070724487305
3,49,-3.86785888671875,59.14165115356445,31.61713409423828,35.28631591796875,31.61713218688965
3,99,-3.918710708618164,59.35174560546875,31.692338943481445,35.49458312988281,31.692338943481445
3,149,-3.2070045471191406,57.71984100341797,31.42490005493164,33.87727355957031,31.42490005493164
4,0,-3.3083438873291016,58.185237884521484,31.602800369262695,34.343101501464844,31.602798461914062
4,49,-3.430286407470703,58.17453384399414,31.47443389892578,34.32881164550781,31.47443389892578
4,99,-3.556974411010742,58.31852722167969,31.434144973754883,34.47134017944336,31.43414306640625
4,149,-3.3926925659179688,57.832176208496094,31.30661392211914,33.99138641357422,31.306610107421875
5,0,-3.780975341796875,59.17510986328125,31.724090576171875,35.321842193603516,31.724088668823242
5,49,-3.4350948333740234,58.47180938720703,31.647993087768555,34.62362289428711,31.647993087768555
5,99,-4.080204010009766,59.82032775878906,31.811992645263672,35.963600158691406,31.811992645263672
5,149,-3.6715641021728516,58.69136047363281,31.54325294494629,34.84332275390625,31.54325294494629
6,0,-3.4426631927490234,58.30622100830078,31.54107093811035,34.458900451660156,31.54107093811035
