user_nIdx,UserName,conad,guide,cola,ocgnn,dmgd,Degree
130,天勒个宇,0,0,0,0,0,1.0
131,奶爸雪过云清,0,0,0,0,0,1.0
132,Allen-Z,1,1,0,0,0,2.0
133,风咏,0,0,0,0,0,1.0
134,昨天炖的鱼,0,0,0,0,0,1.0
135,醉筠子-躺了,0,0,0,0,0,1.0
136,ar峯,0,0,0,0,0,1.0
137,能不能跪下来听我道歉,0,0,1,0,0,1.0
138,我爱开封菜,0,1,0,0,1,2.0
139,NickHoward,1,0,0,0,0,1.0
140,喵和仓鼠是一家,0,0,0,0,0,1.0
141,丨Sternen丨,0,0,0,0,0,1.0
142,Mr小輝,0,0,0,0,0,2.0
143,阿次次饭团咪,0,0,0,0,0,1.0
144,333Repeat,0,0,0,0,0,1.0
145,鵺之梦,0,0,1,0,0,2.0
146,馬将军1989,1,0,0,0,0,1.0
147,逆天围脖_,0,0,0,0,0,1.0
148,OK小团长-,0,0,0,0,0,2.0
149,bozi_Wong,0,0,0,0,0,1.0
150,天缘skylove,0,0,0,0,0,3.0
151,无情大手子,0,0,0,0,0,1.0
152,狗狗是小腿子还是九九更是肘肘,0,0,0,0,0,1.0
153,一吉desu,0,0,1,0,0,1.0
154,吮指原,0,0,0,1,0,1.0
155,凌晨一点改微博名,0,0,0,0,0,1.0
156,_肉山小魔王-此号已废,0,0,0,0,0,2.0
157,无语PK,0,0,0,0,0,1.0
158,焦糖-_-,0,0,0,0,0,1.0
159,Abnaq3idmos,0,0,0,0,0,1.0
160,当艾来敲门,0,0,0,0,0,1.0
161,BoTakWong,0,0,0,0,0,1.0
162,TaTaG,0,0,0,0,0,1.0
163,Morgana_5,0,0,0,0,0,1.0
164,Jshiro,0,0,1,1,0,1.0
165,進擊的暖寶寶-T_T,0,0,0,0,0,1.0
166,不爱发博王左军,0,0,0,0,0,1.0
167,-夫_子-,1,1,0,0,0,2.0
168,Tom同学哈哈哈,1,0,0,0,0,1.0
169,粗超人,0,0,0,0,0,1.0
170,夏天小熊猫_,0,0,0,0,0,1.0
171,剪不动了,0,0,0,0,0,1.0
172,我不是蛐蛐,0,0,0,0,0,1.0
173,桃黑亭,0,0,0,0,0,1.0
174,suuji,0,0,0,0,0,1.0
175,暂时冧唔到冧到话你知,0,0,0,0,0,1.0
176,Yama丶M,0,0,0,0,0,1.0
177,这是小孟呀,0,0,0,0,0,1.0
178,猴猴我啊想飞,0,0,0,0,0,1.0
179,M_Flamenco,0,0,0,0,0,1.0
180,黑暗福音,0,0,0,0,0,1.0
181,喵喵喵喵小靓,0,0,0,0,0,1.0
182,此人核无趣,0,0,1,1,0,1.0
183,天意如此Eling,0,0,0,0,0,1.0
184,芙拉_flouri,0,0,1,0,0,1.0
185,快点多谢甘楽哥啦,0,0,0,0,0,1.0
186,DDDDDlno,0,0,0,1,1,4.0
187,不可思尹_,1,0,0,0,0,1.0
188,七夜菌绝赞社畜中,0,0,0,0,0,1.0
189,ablettshb,0,0,0,0,0,1.0
190,还是喜欢七只假爱豆,0,0,0,0,0,1.0
191,亚拉里亚拉亚拉熊,0,0,0,0,0,1.0
192,月司元,0,0,0,0,0,1.0
193,非洲煤球部落酋长叁,0,0,0,0,0,1.0
194,小桃子么,0,0,0,0,0,1.0
195,我们没文化的人就是这样的,0,0,0,0,0,1.0
196,Jr_Way,0,0,0,0,0,1.0
197,七_弹琴去吧弹自由的琴,0,0,0,0,0,1.0
198,coco星星星冰乐,0,0,0,1,0,1.0
199,chelly丶,0,0,0,0,0,1.0
200,ReIKiTsuNeNeGi,0,0,0,0,0,1.0
201,邪道专家,1,0,0,0,0,1.0
202,破旧的时光机,0,0,0,0,0,1.0
203,风都侦探菲利普,0,0,0,0,0,1.0
204,_楪_,0,0,0,0,0,2.0
205,moeaya,0,0,0,0,0,1.0
206,夜歌-Leiko,0,0,0,0,0,1.0
207,余尧吉,0,0,1,0,0,1.0
208,打喷嚏的鱼丸,0,0,0,0,0,1.0
209,哦啊衣喔了_656,0,0,1,0,0,3.0
210,ink麻烦热咯咯我刻薄破功,0,0,0,0,0,1.0
211,陈超超c,0,0,0,0,0,1.0
212,牛小洛nilo,0,0,0,0,0,1.0
213,Dirk-诺维茨基,1,0,0,1,0,1.0
214,warclen,0,0,0,0,1,1.0
215,Pixel76,0,0,0,0,0,1.0
216,不浪客_孟晓,0,0,0,0,0,1.0
217,日月皆有阴晴圆缺,0,0,0,0,0,1.0
218,AlanWalk,1,0,0,1,0,1.0
219,垃圾战士,0,0,0,0,0,1.0
220,Darius木易三页,0,0,0,0,0,1.0
221,-TIN-,0,0,0,0,0,1.0
222,__CICC__,0,0,0,0,0,1.0
223,Aloysius_牟,0,0,0,0,0,2.0
224,LingRxX,0,0,0,1,1,1.0
225,地-瓜,0,0,0,0,0,1.0
226,kono呱呱岛,0,0,0,0,1,2.0
227,细佬b仔唔姓何,1,0,0,0,0,1.0
228,泉此方Konata,0,0,0,0,0,1.0
229,MAKUKAISEI,0,0,0,0,0,1.0
230,云养喵专业户,0,0,0,0,0,1.0
231,飯後失神P,1,0,0,0,0,2.0
232,吐槽套,0,0,0,0,0,1.0
233,任胖AWSL,0,0,0,0,1,2.0
234,健身环小冒险,0,0,0,0,0,1.0
235,Oscar有了奥斯卡,0,1,0,0,0,2.0
236,小牛腩_,0,0,0,0,0,1.0
237,咸鱼蒸猪肉丶,0,0,0,0,0,1.0
238,Freebee_发粪涂墙,0,0,0,0,0,1.0
239,大工第一飞虎队队长,0,0,1,0,0,1.0
240,卐峰,0,0,0,0,1,2.0
241,黄金鲤鱼王_magicarp,0,0,0,0,0,1.0
242,宗炜CHAN,1,0,0,0,0,1.0
243,Penguin汤汤汤汤汤汤汤汤汤汤汤,0,0,0,0,0,1.0
244,菜刀温暖V5,0,0,0,0,0,1.0
245,Ghost-sky,0,0,0,0,0,1.0
246,R-Fon,0,0,0,0,0,1.0
247,斌__LEO,0,0,0,0,0,1.0
248,某中二小鹿不吃葱喵喵,0,0,0,0,0,1.0
249,不死的八雲,0,1,1,0,0,1.0
250,乌林乌森,0,0,0,0,0,1.0
251,龍丶殇冰,0,0,0,0,0,1.0
252,麥芽狼,0,0,0,0,0,1.0
253,不想吃刀子了,0,0,0,0,0,1.0
254,河馬BBQ,0,0,0,0,0,1.0
255,月猫佑,1,0,0,0,0,1.0
256,你这么没种怎么做我的二当家,0,0,1,0,0,1.0
257,-Jh_Y,0,0,0,0,0,1.0
258,MR_YGL,0,0,0,0,0,1.0
259,-一尾流鸢-,0,0,0,0,0,1.0
260,OoooneDay,0,0,0,1,0,1.0
261,麒星兔照,1,0,0,0,0,1.0
262,好大的一块豆腐,0,0,0,0,0,1.0
263,王者战魂5不屈,0,0,0,1,0,1.0
264,法老只因_,0,0,0,0,0,1.0
265,Airshuaishuai,0,0,0,1,0,1.0
266,默默依风,0,0,0,1,1,2.0
267,里几,1,0,0,0,0,1.0
268,风中摇曳zzzas,0,0,0,0,1,7.0
269,建建森,0,0,0,0,0,1.0
270,赤与蓝之神,0,0,0,0,0,1.0
271,vivi去何方,0,0,0,0,0,1.0
272,十元就是一道光呀,0,0,0,0,0,1.0
273,Sapphire_Dias_Phoenix,0,1,0,0,0,1.0
274,米斯特旺旺,0,0,1,0,0,1.0
275,true-lcy,0,0,0,0,0,1.0
276,neko君,1,1,0,0,0,1.0
277,DIEE_HAHAHA,0,0,0,0,0,1.0
278,你好鬼厉先生,1,0,0,0,0,1.0
279,喵咪北胞,0,0,0,0,0,1.0
280,克鲁希斯,0,0,0,0,0,1.0
281,社畜寻酱,0,0,0,0,0,1.0
282,TENQEI,0,0,0,0,0,1.0
283,Tsukikazu,0,0,0,0,0,1.0
284,奥斯特洛夫斯渣,0,0,0,1,0,2.0
285,悠风麻薯,0,0,1,0,0,1.0
286,屎迪G,0,0,0,0,0,1.0
287,Sevemile,0,0,0,0,0,1.0
288,用户523650012,0,0,0,0,0,1.0
289,_L_z_h,0,0,1,0,0,1.0
290,魔都dlj,0,0,0,0,0,1.0
291,SakuraTREEx,0,0,0,0,0,1.0
292,WimJimLeung,1,0,0,1,0,1.0
293,静谧西林,0,0,0,0,0,1.0
294,班西的面具,0,0,0,0,0,1.0
295,·李鲤鲤·,1,0,0,0,0,1.0
296,STEAL_WATAME,0,0,0,0,0,1.0
297,RRRRRRRRRRRRR个锤子神,0,0,0,1,0,1.0
298,王阿口Echo0O,0,0,0,0,0,1.0
299,桐人·MickeyChan,1,0,0,0,1,2.0
300,EverRays_,0,0,0,0,0,1.0
301,小凉小凉不欠打,0,0,1,0,0,2.0
302,打游戏的小李,1,0,0,0,0,1.0
303,迷路的胖哒,0,0,0,0,0,1.0
304,Tw_Himm,0,0,0,0,0,1.0
305,一只红中君丶,0,0,0,0,0,1.0
306,恍光,1,0,0,0,0,1.0
307,有才Keith,0,0,0,0,0,1.0
308,把浪漫留给风,0,0,0,0,0,1.0
309,一点风吹草动____,1,0,0,0,0,1.0
310,还是那个皮皮呀,1,0,0,0,0,1.0
311,RJ7欣,0,0,0,0,1,2.0
312,Hi洪双喜,1,1,0,0,0,1.0
313,泥头车师傅1,0,0,0,0,0,1.0
314,AkiAka666,0,0,0,0,0,1.0
315,貓與貓尋_inamin,0,0,0,0,0,1.0
316,Kelater,0,0,0,0,1,2.0
317,Mountain-E,0,0,0,0,0,1.0
318,琴音是个小太陽,0,0,0,0,0,1.0
319,他他达拉菲草莓味冰激凌凌凌凌,0,0,0,0,0,1.0
320,寒天黑糖,0,0,0,0,0,2.0
321,囊同学的老父亲,0,0,1,0,1,11.0
322,早睡早起桑,1,0,0,0,1,2.0
323,柴柴汪_滚去打游戏啊,0,0,0,1,1,1.0
324,肥对行,0,0,0,0,0,1.0
325,黄颖的黄n黄颖的颖,0,0,0,0,0,1.0
326,忘掉梦想的愚蠢地球人,0,0,0,0,0,1.0
327,狼小灬灰,0,0,0,0,0,1.0
328,简单复杂否,0,0,0,0,0,1.0
329,白圭君,0,0,0,0,0,1.0
330,_鄧建安,0,0,0,0,0,1.0
331,ronto终于改掉了名字,0,0,0,0,0,1.0
332,连哄带蒙不要脸,0,0,0,0,1,2.0
333,_思琪姐姐,0,0,0,0,0,1.0
334,Candy嬌是熊孩子,0,0,0,0,0,1.0
335,旅途_tou,0,0,0,0,0,1.0
336,宅车,0,0,0,0,0,1.0
337,Hydra_CAT,0,1,1,0,1,2.0
338,饱饱的希希的机智哥哥,0,1,0,0,1,6.0
339,团成个大球,0,0,0,0,0,2.0
340,Chen_Sn,0,0,0,0,0,1.0
341,野鸭子与香烟,0,0,0,0,0,1.0
342,yinglianqiang,0,0,0,0,0,1.0
343,雅客吸,0,0,0,0,0,1.0
344,PhoenixKira沈超,1,0,0,0,0,2.0
345,饼哥萌点偏,0,0,0,0,0,1.0
346,薛定谔的邻居家的猫,0,0,0,0,0,1.0
347,大杜老师15,0,0,0,0,0,2.0
348,Kohak彡,0,0,0,0,0,1.0
349,zZjw0w,0,0,0,0,1,1.0
350,何其坪,0,0,0,0,1,2.0
351,仁与梦,0,0,0,1,1,1.0
352,本凯西C,0,0,0,0,0,1.0
353,饼玉玉,0,0,0,0,0,1.0
354,鬼魅狂笑的老李,0,0,0,0,0,1.0
355,孙哥儿在广州,0,0,0,0,0,1.0
356,安澈c,0,0,0,0,0,1.0
357,Philipp_,0,0,0,0,0,1.0
358,凛_水无月,0,0,1,0,0,1.0
359,三分归元气少年,0,0,0,0,0,1.0
360,皮蛋熊,0,0,0,0,0,1.0
361,张不开嘴-,0,0,0,0,0,1.0
362,D0uble_CheeseBurger,0,0,0,0,0,2.0
363,就不能全英文吗CS,0,0,0,0,0,2.0
364,Zzzeppelin,0,1,0,0,0,1.0
365,工口大灰,0,0,1,0,0,1.0
366,Messnow1,0,0,0,0,0,1.0
367,弐辛,0,0,0,0,0,1.0
368,真呼名子,0,0,0,1,1,4.0
369,盐渍噜,0,0,0,0,0,1.0
370,人生真是寂寞如雪啊x,0,0,0,0,0,1.0
371,栗山未来厨,1,0,0,0,0,1.0
372,啊一加一JOY,1,0,0,0,0,1.0
373,徐小夏在夏倦,0,0,0,0,0,2.0
374,willlee316,0,0,0,0,0,1.0
375,改了名儿也像个水军,0,0,1,0,0,1.0
376,好运爆棚女孩,1,0,0,0,0,1.0
377,花落潮鸣,0,0,0,0,0,1.0
378,少女不到80斤,0,0,0,1,0,1.0
379,鸥洗恩,0,1,0,0,1,2.0
380,蓝猫是尼玛,0,0,0,0,1,2.0
381,穿拖鞋的烟,0,0,0,1,1,1.0
382,打工鸡仔,0,0,1,0,0,1.0
383,c不吃夜宵,0,0,0,0,0,1.0
384,一名强者,0,0,0,0,0,1.0
385,ZAKI_2473,0,0,0,0,0,1.0
386,vegetaaaaaa_,0,0,0,0,0,1.0
387,巨巨巨巨巨巨巨巨蟹蟹,0,0,1,0,1,2.0
388,胖次三,1,0,0,0,0,1.0
389,CCMISSUUU,0,0,0,0,0,1.0
390,王小花喵喵咪,0,0,0,0,0,1.0
391,凉粱,0,0,0,0,0,1.0
392,注销990011232,0,0,0,0,0,2.0
393,好的收到嗯嗯,0,0,0,0,0,1.0
394,洛洛洛Sevilos,0,0,0,0,0,1.0
395,天中有肆,0,0,0,0,0,1.0
396,落秋禾杊,1,0,0,0,0,1.0
397,数据线纳豆奶奶,1,0,0,0,0,1.0
398,见猪师,0,0,0,0,0,1.0
399,lu_luella,0,0,0,0,0,1.0
400,17173轩辕,1,0,0,0,0,1.0
401,向着太阳奔跑吧,0,0,0,0,0,1.0
402,仙霞派代表,1,0,0,0,0,1.0
403,吃橘子的布丁,0,0,0,0,1,3.0
404,喵了个咪喵喵喵喵,0,1,1,0,0,1.0
405,疯狂的小木人,0,0,0,0,0,1.0
406,不叫Cory叫叁秒,0,1,1,0,1,3.0
407,Ohtani17,0,0,0,0,0,1.0
408,中空骰子,0,0,0,0,0,1.0
409,猪啊豪,0,0,0,0,0,1.0
410,微笑与暖风,0,0,0,0,0,1.0
411,heyjue,0,0,0,0,0,1.0
412,DaftStone,0,0,1,0,0,1.0
413,英灵丘比,0,0,0,0,0,2.0
414,丿丶面,1,0,0,0,0,2.0
415,XiaoChoubbb,0,0,0,0,0,1.0
416,百歌小天才,0,0,0,0,0,1.0
417,_YukLung,0,0,0,0,0,1.0
418,一直用塞班不会玩安卓,0,0,0,0,0,3.0
419,saber家今天的饭,0,0,0,0,0,1.0
420,鲜肉腊八饭,0,0,0,0,0,1.0
421,庭叔-JACK,0,0,0,1,0,1.0
422,-葉書,0,0,0,0,0,1.0
423,蔷薇真是rose,0,0,0,0,0,1.0
424,AssassinCat_刺客猫,0,0,0,0,0,2.0
425,7K_FreeStyle,0,0,0,0,0,1.0
426,小昭cxz,0,0,0,0,0,1.0
427,不是曾老师,0,0,1,0,0,1.0
428,黑云母wizone,0,0,0,0,0,1.0
429,吴亚为,0,1,0,0,1,15.0
430,Bladerunner_07,1,0,0,0,0,1.0
431,_阿楠_,1,0,0,0,0,1.0
432,哎嗨呦拽,0,0,1,0,0,1.0
433,阿飘TinnedFish,1,0,0,0,0,1.0
434,枝楠,0,0,0,0,0,1.0
435,Mercury_阿凉,1,0,0,0,0,1.0
436,lihua不会写作文,1,0,0,0,0,1.0
437,SA口吐芬芳,0,0,0,0,0,1.0
438,ksqc_,0,0,0,0,0,1.0
439,油兔音乐,0,0,0,0,0,1.0
