Epoch,Step,Loss,Discrim_empi,Compress_empi,Discrim_theo,Compress_theo
0,0,-27.750864028930664,55.50200271606445,27.75113868713379,31.709083557128906,27.751134872436523
0,49,-27.877756118774414,55.54404830932617,27.666292190551758,31.745254516601562,27.666292190551758
0,99,-27.577558517456055,55.22248840332031,27.644929885864258,31.428936004638672,27.644929885864258
0,149,-27.48200035095215,55.301727294921875,27.819726943969727,31.50836753845215,27.819726943969727
1,0,-27.579425811767578,55.144920349121094,27.565494537353516,31.34876251220703,27.565492630004883
1,49,-27.462678909301758,55.09626007080078,27.633581161499023,31.303367614746094,27.633577346801758
1,99,-27.395170211791992,55.12141418457031,27.72624397277832,31.32923126220703,27.726242065429688
1,149,-29.15656280517578,56.94169616699219,27.785133361816406,33.129791259765625,27.785133361816406
2,0,-27.619203567504883,55.26874542236328,27.6495418548584,31.477516174316406,27.6495418548584
2,49,-27.219133377075195,54.952632904052734,27.73349952697754,31.160152435302734,27.733497619628906
2,99,-27.68009376525879,55.273681640625,27.59358787536621,31.479032516479492,27.59358787536621
2,149,-27.911043167114258,55.63452911376953,27.723485946655273,31.837806701660156,27.723485946655273
3,0,-27.686403274536133,55.33644104003906,27.65003776550293,31.537250518798828,27.650035858154297
3,49,-27.9168758392334,55.45366287231445,27.536787033081055,31.6539306640625,27.536785125732422
3,99,-27.003416061401367,54.710182189941406,27.70676612854004,30.924087524414062,27.70676612854004
3,149,-27.867359161376953,55.539642333984375,27.672283172607422,31.742835998535156,27.672283172607422
4,0,-28.16042709350586,55.97663497924805,27.816207885742188,32.17594528198242,27.816207885742188
4,49,-26.991470336914062,54.52197265625,27.530502319335938,30.738433837890625,27.530500411987305
4,99,-28.103200912475586,55.89786911010742,27.794668197631836,32.0931282043457,27.794666290283203
4,149,-27.416200637817383,55.10880661010742,27.69260597229004,31.312862396240234,27.69260597229004
5,0,-27.677061080932617,55.388710021972656,27.71164894104004,31.589170455932617,27.71164894104004
5,49,-28.217708587646484,55.80364227294922,27.585933685302734,32.000213623046875,27.585933685302734
5,99,-28.303747177124023,56.068458557128906,27.764711380004883,32.25848388671875,27.764711380004883
5,149,-28.53431510925293,56.45416259765625,27.91984748840332,32.638206481933594,27.91984748840332
6,0,-28.1331844329834,55.946746826171875,27.813562393188477,32.13969039916992,27.813562393188477
6,49,-28.70663833618164,56.427921295166016,27.721282958984375,32.611976623535156,27.721282958984375
6,99,-29.05665397644043,56.94908142089844,27.892427444458008,33.1278076171875,27.892427444458008
6,149,-28.623245239257812,56.29914093017578,27.67589569091797,32.48464584350586,27.67589569091797
7,0,-28.262380599975586,55.93739318847656,27.675012588500977,32.13164138793945,27.675012588500977
7,49,-27.82716178894043,55.54839324951172,27.72123146057129,31.746532440185547,27.721229553222656
7,99,-27.66962432861328,55.2186279296875,27.54900360107422,31.421123504638672,27.54900360107422
7,149,-27.918962478637695,55.58152770996094,27.662565231323242,31.777347564697266,27.66256332397461
8,0,-28.016544342041016,55.71574401855469,27.699199676513672,31.911890029907227,27.69919776916504
8,49,-28.01253318786621,55.71498107910156,27.70244789123535,31.912559509277344,27.702444076538086
8,99,-27.88191032409668,55.49898910522461,27.61707878112793,31.694496154785156,27.61707878112793
8,149,-28.384784698486328,56.04401397705078,27.659229278564453,32.23918914794922,27.65922737121582
9,0,-27.94161605834961,55.64020538330078,27.698589324951172,31.83525276184082,27.69858741760254
9,49,-28.0361328125,55.77967071533203,27.74353790283203,31.973125457763672,27.74353790283203
9,99,-27.72927474975586,55.47115707397461,27.74188232421875,31.669822692871094,27.74188232421875
9,149,-27.828672409057617,55.41890335083008,27.59023094177246,31.619007110595703,27.590227127075195
10,0,-28.538238525390625,56.22895050048828,27.690711975097656,32.417232513427734,27.690711975097656
10,49,-27.73426628112793,55.289825439453125,27.555559158325195,31.492565155029297,27.555559158325195
10,99,-27.445449829101562,55.14311218261719,27.697662353515625,31.343063354492188,27.697662353515625
10,149,-28.141544342041016,55.76811218261719,27.626567840576172,31.96113395690918,27.626567840576172
11,0,-28.278663635253906,55.883731842041016,27.60506820678711,32.07341384887695,27.605064392089844
11,49,-28.618629455566406,56.434024810791016,27.81539535522461,32.615928649902344,27.81539535522461
11,99,-27.611906051635742,55.26678466796875,27.654878616333008,31.46764373779297,27.654878616333008
11,149,-28.17874526977539,55.97206115722656,27.793315887451172,32.16265106201172,27.793315887451172
12,0,-27.79067611694336,55.5964241027832,27.805747985839844,31.79056167602539,27.805747985839844
12,49,-28.38738250732422,56.231407165527344,27.844024658203125,32.414737701416016,27.844022750854492
12,99,-28.74201011657715,56.45560073852539,27.713590621948242,32.64129638671875,27.713590621948242
12,149,-27.659900665283203,55.19624328613281,27.53634262084961,31.397991180419922,27.536338806152344
13,0,-28.008176803588867,55.39697265625,27.388795852661133,31.597198486328125,27.388795852661133
13,49,-28.467573165893555,56.14154052734375,27.673967361450195,32.3289680480957,27.673965454101562
13,99,-29.130104064941406,56.89089584350586,27.760791778564453,33.07145690917969,27.760791778564453
13,149,-27.539106369018555,55.10554504394531,27.566438674926758,31.310138702392578,27.566436767578125
14,0,-28.663244247436523,56.364158630371094,27.70091438293457,32.550254821777344,27.70091438293457
14,49,-28.133638381958008,55.88041687011719,27.74677848815918,32.07160186767578,27.74677848815918
14,99,-27.96279525756836,55.50193786621094,27.539142608642578,31.6982479095459,27.539142608642578
14,149,-28.255117416381836,56.020870208740234,27.7657527923584,32.210845947265625,27.765756607055664
15,0,-28.032466888427734,55.687225341796875,27.65475845336914,31.88253402709961,27.654756546020508
