Epoch,Step,Loss,Discrim_empi,Compress_empi,Discrim_theo,Compress_theo
0,0,-6.268941879272461,52.666412353515625,25.33090591430664,28.951778411865234,25.33090591430664
0,49,-5.624946594238281,51.14396667480469,25.061433792114258,27.45831871032715,25.061433792114258
0,99,-5.885173797607422,51.6575927734375,25.10938262939453,27.96799659729004,25.1093807220459
0,149,-5.538457870483398,50.99531936645508,25.058734893798828,27.321975708007812,25.058732986450195
1,0,-5.959476470947266,51.58053207397461,24.98884391784668,27.89284896850586,24.98884391784668
1,49,-6.161001205444336,51.74364471435547,24.88518714904785,28.05440902709961,24.88518524169922
1,99,-5.819574356079102,51.43238830566406,25.039859771728516,27.74732208251953,25.039857864379883
1,149,-6.346685409545898,52.558692932128906,25.18853187561035,28.85052490234375,25.18852996826172
2,0,-6.537391662597656,52.561424255371094,24.99946403503418,28.855344772338867,24.999460220336914
2,49,-5.781147003173828,51.062278747558594,24.85622215270996,27.382417678833008,24.85622215270996
2,99,-5.759359359741211,51.419281005859375,25.09221076965332,27.731060028076172,25.09221076965332
2,149,-6.419698715209961,52.345550537109375,24.987632751464844,28.63711166381836,24.987628936767578
3,0,-6.436346054077148,52.12943649291992,24.84131622314453,28.428871154785156,24.84131622314453
3,49,-6.311025619506836,52.37106704711914,25.111616134643555,28.660045623779297,25.111616134643555
3,99,-6.36431884765625,52.581085205078125,25.18433380126953,28.86589813232422,25.18433380126953
3,149,-5.648126602172852,50.95024108886719,24.922019958496094,27.268497467041016,24.922016143798828
4,0,-5.754335403442383,51.41570281982422,25.0950870513916,27.734817504882812,25.0950870513916
4,49,-5.87053108215332,51.404754638671875,24.972322463989258,27.715784072875977,24.972320556640625
4,99,-5.993650436401367,51.54866027832031,24.935546875,27.85628318786621,24.935546875
4,149,-5.832355499267578,51.062740325927734,24.80529022216797,27.385007858276367,24.805288314819336
5,0,-6.229501724243164,52.404869079589844,25.213420867919922,28.698556900024414,25.21341896057129
5,49,-5.881172180175781,51.70197296142578,25.140012741088867,28.007322311401367,25.140012741088867
5,99,-6.526128768920898,53.04972457885742,25.303707122802734,29.335407257080078,25.303707122802734
5,149,-6.113519668579102,51.921478271484375,25.03936767578125,28.227123260498047,25.03936767578125
6,0,-5.89006233215332,51.53643798828125,25.031801223754883,27.843774795532227,25.03179931640625
6,49,-6.027580261230469,51.4737548828125,24.856674194335938,27.784290313720703,24.856674194335938
6,99,-6.278375625610352,51.807640075683594,24.806209564208984,28.117782592773438,24.806209564208984
6,149,-6.573797225952148,52.63261795043945,25.005775451660156,28.918933868408203,25.005773544311523
7,0,-6.806535720825195,53.62068176269531,25.365873336791992,29.89474105834961,25.36587142944336
7,49,-5.686336517333984,50.892127990722656,24.848941802978516,27.214765548706055,24.848941802978516
7,99,-6.4256439208984375,52.70545196533203,25.197628021240234,29.00586700439453,25.19762420654297
7,149,-5.806283950805664,50.73704528808594,24.635944366455078,27.062166213989258,24.635944366455078
8,0,-6.175500869750977,52.16609191894531,25.124155044555664,28.462251663208008,25.1241512298584
8,49,-5.71074104309082,50.90965270996094,24.835052490234375,27.2337646484375,24.835052490234375
8,99,-5.6204833984375,50.96898651123047,24.960908889770508,27.285297393798828,24.960906982421875
8,149,-6.18867301940918,51.80537414550781,24.89455223083496,28.10706329345703,24.894550323486328
9,0,-5.992547988891602,51.563995361328125,24.945850372314453,27.86795425415039,24.94584846496582
9,49,-6.284780502319336,52.100120544433594,24.975292205810547,28.399391174316406,24.975292205810547
