UserID,IndexList,UserName,TotalComment,Comment,Reply,LikeCount,ProvinceCode,Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,VipRank
1453550314,"[2627, 2717]",话唠专用矫正器,2,1,1,26,2,1,8,0,0,94,138,6095,0,0,0
1453733625,[915],J_Ukiyo,1,1,0,1,4,1,9,0,1,9506,612,1682,0,0,0
1482264171,[440],--领衔主演--,1,1,0,1,10,1,14,0,1,114,158,1737,0,0,0
1493133791,[2205],蓝色格zi,1,1,0,0,0,1,25,4,1,52,352,1615,0,0,0
1507476521,[2142],魔妖72,1,1,0,0,11,1,10,0,1,121,242,321,0,0,0
1523380005,[3804],海拉鲁死鱼,1,1,0,0,26,1,4,0,1,69,159,203,0,0,0
1557964837,[1526],绝缘_逻辑,1,1,0,0,4,1,32,1,0,493,358,683,0,0,0
1563908073,[3140],白玦,1,0,1,0,4,1,9,0,0,184,521,925,0,0,0
1571424187,[2497],ShadowMurlong,1,1,0,0,31,1,4,0,1,96,211,166,0,0,0
1577049290,[3474],水饺码头,1,1,0,0,2,1,0,3,0,52,676,13300,0,0,0
1581113631,[760],就叫我亚索吧,1,1,0,0,4,1,2,0,0,271,1987,9634,0,0,0
1581562614,[1701],小张张志祥,1,1,0,0,26,1,31,10,1,1057,846,4063,0,0,0
1590587883,[754],Goaheadbb,1,1,0,0,23,0,0,0,1,992,751,2286,0,0,0
1597459081,[2783],果茶woye,1,1,0,0,12,1,5,0,1,43,250,571,0,0,0
1598008330,[2809],FatMan_久,1,1,0,0,34,0,0,0,1,808,1397,3087,0,0,0
1598749000,[243],用户ysg2kn7stw,1,1,0,1,2,0,0,0,1,1,22,21,0,0,0
1601331221,[2573],leon珺,1,0,1,0,15,1,6,1,1,38,200,54,0,0,0
1601484654,"[1054, 1056]",_吴叫兽,2,2,0,0,2,1,3,0,1,43565,952,484,1,0,6
1607465974,"[770, 771]",不瞎折腾不舒服斯基,2,2,0,0,25,1,9,1,1,363,299,198,0,0,0
1609121510,[2224],_SCarLetII,1,1,0,0,19,1,4,1,1,63,309,849,0,0,0
1610011612,[877],坑有脑子,1,1,0,0,4,1,21,2,1,168,195,361,0,0,0
1613101064,[663],TOZZ_NextGen,1,1,0,0,0,0,0,0,1,503,269,2814,0,0,0
1615154694,[1103],一只开闭闭,1,1,0,0,15,0,0,0,1,286,608,1214,0,0,0
1617256443,[914],amewbaby,1,1,0,0,4,0,0,0,0,74,23,408,0,0,0
1625344791,[3675],vensli,1,1,0,0,5,1,9,1,1,2964,645,15520,0,0,0
1627375110,[2767],狂乱贵公子,1,1,0,0,12,1,8,0,0,357,131,1969,0,0,0
1627577250,"[874, 875]",什么时候长尾巴-,2,2,0,0,26,1,0,19,0,6088,299,58,0,0,0
1628054360,[1776],散落羽翼丿,1,1,0,0,26,0,0,0,0,59,189,55,0,1,0
1632707542,[2522],誓约胜利之王,1,1,0,0,10,1,9,9,1,647,124,4487,0,0,0
1632884545,[1152],白石麻衣亲了察,1,1,0,0,2,1,5,0,1,460,2237,2030,0,0,4
1633551984,[2792],间桐暴怒,1,1,0,0,6,1,8,1,1,258,653,139,0,1,0
1634548724,[2309],xiong的闲居,1,1,0,0,22,0,0,0,1,29,96,192,0,0,0
1635476621,"[1256, 1331, 1493, 1494, 1495]",我真的是一只小恐龙啊,5,5,0,0,11,1,5,0,0,45,3355,10359,0,0,0
1636087610,[2355],最猪儿,1,1,0,0,26,0,0,0,0,86,263,148,0,0,0
1639952374,[2449],盛夏的野兽_,1,1,0,0,15,1,9,0,1,749,699,8445,0,0,0
1646073133,[2266],红玉胤紫,1,1,0,0,30,1,23,2,1,498,1081,12971,1,0,1
1646945503,[2788],Cecilia_只影空遊,1,1,0,0,12,1,22,4,1,388,833,4538,0,0,0
1648401947,[1064],水邪大人,1,0,1,1,31,1,8,1,1,278,273,594,0,0,0
1650555760,[2481],养猫少年-阿晨,1,1,0,1,21,1,17,2,1,39,70,5,0,0,0
1650644734,[2931],凌汛,1,1,0,1,10,1,14,1,1,4488,1500,16945,1,0,6
1650860161,"[1996, 2007]",unscs1337,2,2,0,0,19,1,5,0,1,143,231,1867,0,0,0
1651139012,[1010],穿刺仨甲,1,1,0,0,21,1,68,1,1,2994,1024,20229,0,0,0
1652046253,[2624],亜空間遊泳,1,1,0,0,2,1,49,1,0,95,64,6721,0,0,0
1654787457,[3680],小小小小小雨_,1,1,0,3,2,1,8,0,0,172,83,1680,0,0,0
1654788071,[30],盛夏薇澜,1,1,0,1,6,0,0,0,0,69,79,89,0,1,0
1656613521,[624],鱼饼干_Z,1,1,0,0,23,0,0,0,1,13,86,36,0,0,0
1657066315,[2637],水哥的表弟,1,1,0,0,4,1,20,2,1,823,886,4476,0,0,0
1657371107,[2336],thewonder,1,1,0,0,0,0,0,0,1,94,319,495,0,0,0
1658902872,[545],社会军规二十三,1,1,0,0,2,1,15,2,1,690,2237,2721,0,0,0
1661184511,[867],黑瞳过年,1,1,0,0,21,1,11,2,1,186,103,1705,0,0,0
1663295874,[569],给贫道来碗酒,1,1,0,0,4,1,3,6,1,371,251,10,0,0,0
1664996264,"[1663, 1668, 2344]",把记忆结成冰zz,3,3,0,0,12,0,0,0,1,19,49,849,0,1,0
1666930252,"[2696, 2707, 2710, 2712, 2713]",Be39_Gph,5,0,5,8,30,1,40,1,1,43,258,2971,0,0,0
1668034214,"[937, 3325]",Lost_2021,2,1,1,2,15,0,0,0,1,548,496,1534,0,0,0
1668331584,[1198],胡吃海喝的胖伙计,1,1,0,0,10,1,6,1,1,51,884,2165,0,0,7
1673742051,[1940],镰舞死神,1,1,0,0,31,1,54,7,1,455,299,674,0,0,0
1676235095,[1591],不思者不语,1,1,0,0,12,0,0,0,1,60,545,2182,0,0,0
1676594064,[1876],Ning某,1,1,0,0,12,1,37,7,1,985,2896,22824,0,0,6
1677158044,[2844],HaaiHaaiHaai,1,1,0,0,21,0,0,0,1,594,929,2950,0,0,0
1677353867,[2343],阿汛吗,1,1,0,0,12,1,18,3,1,527,168,387,0,0,0
1677624737,"[3500, 3501]",Ant1m0ny,2,2,0,0,0,0,0,0,1,72,174,184,0,1,0
1678114401,[3327],洛书_Anson,1,0,1,0,4,1,28,0,1,164,961,903,0,0,0
1678770345,[844],猫痣,1,1,0,0,2,1,8,3,0,709,96,4397,0,0,7
1679109047,[735],东木火火火火,1,1,0,0,28,1,13,2,1,1312,1101,16905,0,0,6
1680232613,[2476],山德鲁大君,1,1,0,0,4,1,4,0,1,78,443,1033,0,0,0
1680284804,[629],庚酱好好吃,1,1,0,0,12,1,8,2,1,225,170,453,0,0,0
1681862197,"[1706, 1772]",出生就在罗马,2,2,0,0,23,1,6,4,0,285,364,242,0,0,0
1682525060,[869],天勒个宇,1,1,0,0,3,1,11,2,1,924,1394,561,0,0,0
